Date,Open,High,Low,Close,Vol.,Change %
"Apr 02, 2021",171.73,171.73,171.73,171.73,-,-0.06%
"Apr 01, 2021",171.1,171.86,171.07,171.83,571.20K,0.32%
"Mar 31, 2021",171.14,171.4,170.88,171.28,771.11K,0.16%
"Mar 30, 2021",171.53,171.56,170.71,171.0,932.15K,-0.36%
"Mar 29, 2021",172.08,172.34,171.45,171.62,623.82K,-0.29%
"Mar 26, 2021",172.56,172.58,171.91,172.12,628.46K,-0.27%
"Mar 25, 2021",172.3,172.66,172.15,172.58,641.25K,0.24%
"Mar 24, 2021",172.19,172.44,171.93,172.17,700.32K,0.15%
"Mar 23, 2021",171.54,172.17,171.42,171.92,775.98K,0.25%
"Mar 22, 2021",171.3,171.8,171.23,171.49,584.36K,0.16%
"Mar 19, 2021",170.96,171.43,170.93,171.22,664.88K,0.29%
"Mar 18, 2021",171.44,171.47,170.52,170.72,960.18K,-0.21%
"Mar 17, 2021",171.68,171.8,170.98,171.08,817.35K,-0.41%
"Mar 16, 2021",171.77,172.0,171.64,171.78,689.01K,0.00%
"Mar 15, 2021",171.32,171.87,171.2,171.78,653.50K,0.39%
"Mar 12, 2021",171.62,171.65,171.05,171.12,733.60K,-0.30%
"Mar 11, 2021",171.43,172.2,171.3,171.64,986.92K,0.19%
"Mar 10, 2021",171.38,171.53,171.07,171.32,588.85K,0.05%
"Mar 09, 2021",170.93,171.7,170.83,171.23,740.72K,-1.60%
"Mar 08, 2021",173.95,174.0,173.71,174.01,15.50K,0.01%
"Mar 05, 2021",173.69,174.28,173.63,174.0,209.17K,-0.15%
"Mar 04, 2021",173.79,174.51,173.71,174.27,938.86K,0.18%
"Mar 03, 2021",174.93,174.97,173.75,173.95,1.44M,-0.41%
"Mar 02, 2021",174.75,174.93,174.14,174.67,1.42M,0.06%
"Mar 01, 2021",174.02,174.75,173.77,174.56,1.15M,0.67%
"Feb 26, 2021",172.11,173.91,172.11,173.4,1.50M,0.20%
"Feb 25, 2021",174.21,174.25,172.08,173.06,1.70M,-0.56%
"Feb 24, 2021",174.49,174.57,173.65,174.04,1.15M,-0.18%
"Feb 23, 2021",174.57,174.65,173.82,174.35,1.18M,-0.21%
"Feb 22, 2021",173.95,175.02,173.58,174.72,1.27M,0.31%
"Feb 19, 2021",174.64,174.7,173.98,174.18,944.86K,-0.29%
"Feb 18, 2021",175.12,175.26,174.38,174.68,1.02M,-0.21%
"Feb 17, 2021",174.45,175.14,174.38,175.04,1.15M,0.14%
"Feb 16, 2021",175.24,175.45,174.49,174.8,1.05M,-0.25%
"Feb 15, 2021",175.65,175.7,175.15,175.23,670.34K,-0.42%
"Feb 12, 2021",176.39,176.53,175.77,175.97,758.70K,-0.26%
"Feb 11, 2021",176.27,176.64,176.24,176.43,656.53K,0.19%
"Feb 10, 2021",176.07,176.38,175.94,176.1,688.20K,-0.06%
"Feb 09, 2021",176.1,176.36,175.92,176.21,765.00K,0.05%
"Feb 08, 2021",175.96,176.23,175.61,176.12,643.91K,-0.03%
"Feb 05, 2021",176.28,176.48,175.63,176.17,977.99K,-0.09%
"Feb 04, 2021",176.35,176.57,176.1,176.32,848.30K,-0.08%
"Feb 03, 2021",176.6,176.7,176.35,176.47,761.77K,-0.16%
"Feb 02, 2021",177.13,177.23,176.63,176.75,876.69K,-0.27%
"Feb 01, 2021",177.36,177.42,176.97,177.22,635.89K,-0.02%
"Jan 29, 2021",177.58,177.66,176.89,177.25,1.15M,-0.29%
"Jan 28, 2021",177.64,177.96,177.46,177.77,701.49K,-0.01%
"Jan 27, 2021",177.56,178.12,177.39,177.79,863.82K,0.15%
"Jan 26, 2021",177.82,177.96,177.45,177.52,617.11K,-0.17%
"Jan 25, 2021",177.13,177.88,177.12,177.83,675.95K,0.38%
"Jan 22, 2021",176.76,177.27,176.63,177.16,643.50K,0.20%
"Jan 21, 2021",177.41,177.56,176.74,176.8,860.43K,-0.37%
"Jan 20, 2021",177.33,177.5,177.25,177.45,506.83K,0.03%
"Jan 19, 2021",177.31,177.45,177.1,177.4,720.92K,0.02%
"Jan 18, 2021",177.71,177.81,177.24,177.37,432.30K,-0.16%
"Jan 15, 2021",177.65,177.94,177.5,177.66,547.66K,-0.10%
"Jan 14, 2021",177.49,177.96,177.32,177.84,748.88K,0.27%
"Jan 13, 2021",176.84,177.6,176.72,177.36,989.43K,0.52%
"Jan 12, 2021",176.83,176.87,176.34,176.44,904.00K,-0.28%
"Jan 11, 2021",177.28,177.55,176.84,176.93,739.76K,-0.21%
"Jan 08, 2021",177.33,177.53,177.16,177.3,542.40K,0.03%
